prompt_idx,transformation,layer,harmful_proj,harmless_proj,gap
1,json,7,-2.419921875,-2.466796875,0.046875
1,json,8,-1.6357421875,-1.8154296875,0.1796875
1,json,9,-1.8330078125,-1.947265625,0.1142578125
1,json,10,-1.22265625,-1.255859375,0.033203125
1,json,11,-1.84765625,-2.130859375,0.283203125
1,json,12,-0.7470703125,-1.1865234375,0.439453125
1,json,13,-1.841796875,-2.150390625,0.30859375
1,json,14,-1.2197265625,-2.005859375,0.7861328125
1,json,15,-1.37109375,-2.400390625,1.029296875
1,json,16,0.0467529296875,-1.5546875,1.6014404296875
1,json,17,0.424072265625,-1.51171875,1.935791015625
1,json,18,-0.60009765625,-2.66796875,2.06787109375
1,json,19,0.5205078125,-1.791015625,2.3115234375
1,json,20,-2.666015625,-5.3125,2.646484375
1,json,21,-0.157470703125,-5.515625,5.358154296875
1,json,22,2.298828125,-5.28515625,7.583984375
1,json,23,5.8046875,-3.27734375,9.08203125
1,json,24,5.2265625,-4.36328125,9.58984375
1,json,25,10.859375,-1.44921875,12.30859375
1,json,26,9.9375,-3.7421875,13.6796875
1,json,27,7.56640625,-8.1484375,15.71484375
1,json,28,44.90625,25.0,19.90625
1,xml,0,-0.0015106201171875,-0.0015106201171875,0.0
1,xml,1,0.02471923828125,-0.0181732177734375,0.0428924560546875
1,xml,2,-0.4814453125,-0.5439453125,0.0625
1,xml,3,-1.23828125,-1.3505859375,0.1123046875
1,xml,4,-1.81640625,-2.005859375,0.189453125
1,xml,5,-2.529296875,-2.69921875,0.169921875
1,xml,6,-3.41015625,-3.4765625,0.06640625
1,xml,7,-3.220703125,-3.298828125,0.078125
1,xml,8,-2.158203125,-2.375,0.216796875
1,xml,9,-2.361328125,-3.005859375,0.64453125
1,xml,10,-2.041015625,-2.7890625,0.748046875
1,xml,11,-2.013671875,-3.576171875,1.5625
1,xml,12,0.724609375,-1.744140625,2.46875
1,xml,13,0.437744140625,-2.669921875,3.107666015625
1,xml,14,1.8369140625,-2.7109375,4.5478515625
1,xml,15,2.3203125,-3.677734375,5.998046875
1,xml,16,3.783203125,-2.80078125,6.583984375
1,xml,17,5.12109375,-3.16015625,8.28125
1,xml,18,4.23046875,-4.30078125,8.53125
1,xml,19,6.16015625,-2.08203125,8.2421875
1,xml,20,1.46875,-6.80078125,8.26953125
1,xml,21,2.0390625,-7.109375,9.1484375
1,xml,22,3.3828125,-7.05078125,10.43359375
1,xml,23,7.7578125,-3.296875,11.0546875
1,xml,24,7.92578125,-3.916015625,11.841796875
1,xml,25,12.3046875,-1.646484375,13.951171875
1,xml,26,9.8046875,-5.265625,15.0703125
1,xml,27,6.4453125,-10.484375,16.9296875
1,xml,28,38.125,22.84375,15.28125
1,markdown,0,-0.033660888671875,-0.033660888671875,0.0
1,markdown,1,-0.1505126953125,-0.1888427734375,0.038330078125
1,markdown,2,-0.71435546875,-0.78564453125,0.0712890625
1,markdown,3,-0.1112060546875,-0.1533203125,0.0421142578125
1,markdown,4,-0.94287109375,-1.017578125,0.07470703125
1,markdown,5,-0.84814453125,-0.91552734375,0.0673828125
1,markdown,6,-1.74609375,-1.9111328125,0.1650390625
1,markdown,7,-1.8056640625,-2.001953125,0.1962890625
1,markdown,8,-1.376953125,-1.6064453125,0.2294921875
1,markdown,9,-1.4462890625,-1.5947265625,0.1484375
1,markdown,10,-2.0546875,-2.103515625,0.048828125
1,markdown,11,-1.1787109375,-1.4169921875,0.23828125
1,markdown,12,1.12109375,0.427734375,0.693359375
1,markdown,13,0.52490234375,0.0604248046875,0.4644775390625
1,markdown,14,2.130859375,1.1630859375,0.9677734375
1,markdown,15,2.70703125,1.177734375,1.529296875
1,markdown,16,4.703125,1.5556640625,3.1474609375
1,markdown,17,5.26953125,1.9072265625,3.3623046875
1,markdown,18,4.19921875,1.01171875,3.1875
1,markdown,19,6.30859375,2.96484375,3.34375
1,markdown,20,1.361328125,-2.22265625,3.583984375
1,markdown,21,3.068359375,-2.60546875,5.673828125
1,markdown,22,5.53125,-1.0712890625,6.6025390625
1,markdown,23,11.5234375,4.671875,6.8515625
1,markdown,24,12.40625,5.4140625,6.9921875
1,markdown,25,19.65625,10.6875,8.96875
1,markdown,26,14.953125,4.67578125,10.27734375
1,markdown,27,14.1953125,1.9443359375,12.2509765625
1,markdown,28,68.6875,61.71875,6.96875
1,roleplay,0,0.249267578125,-0.1256103515625,0.3748779296875
1,roleplay,1,6.625,-3.951171875,10.576171875
1,roleplay,2,5.73046875,-4.421875,10.15234375
1,roleplay,3,8.984375,-6.86328125,15.84765625
1,roleplay,4,7.4375,-9.890625,17.328125
1,roleplay,5,9.5390625,-10.015625,19.5546875
1,roleplay,6,8.546875,-9.3359375,17.8828125
1,roleplay,7,9.1796875,-10.1328125,19.3125
1,roleplay,8,9.953125,-11.25,21.203125
1,roleplay,9,8.1328125,-11.828125,19.9609375
1,roleplay,10,10.4609375,-11.125,21.5859375
1,roleplay,11,11.2890625,-10.890625,22.1796875
1,roleplay,12,14.96875,-8.6875,23.65625
1,roleplay,13,13.5,-9.0703125,22.5703125
1,roleplay,14,13.8046875,-8.5625,22.3671875
1,roleplay,15,12.6484375,-9.859375,22.5078125
1,roleplay,16,13.3828125,-8.984375,22.3671875
1,roleplay,17,13.53125,-9.3046875,22.8359375
1,roleplay,18,12.6171875,-11.3125,23.9296875
1,roleplay,19,15.1015625,-10.9453125,26.046875
1,roleplay,20,5.7265625,-23.078125,28.8046875
1,roleplay,21,11.0546875,-21.40625,32.4609375
1,roleplay,22,15.296875,-20.734375,36.03125
1,roleplay,23,23.328125,-15.8984375,39.2265625
1,roleplay,24,24.40625,-18.34375,42.75
1,roleplay,25,34.25,-13.6328125,47.8828125
1,roleplay,26,32.46875,-16.6875,49.15625
1,roleplay,27,34.65625,-20.453125,55.109375
1,roleplay,28,94.0625,55.15625,38.90625
1,nested,0,0.249267578125,-0.1256103515625,0.3748779296875
1,nested,1,6.6640625,-3.998046875,10.662109375
1,nested,2,5.6484375,-4.55078125,10.19921875
1,nested,3,8.9453125,-7.22265625,16.16796875
1,nested,4,7.43359375,-10.2890625,17.72265625
1,nested,5,9.5546875,-10.609375,20.1640625
1,nested,6,8.59375,-9.734375,18.328125
1,nested,7,8.9453125,-10.7265625,19.671875
1,nested,8,9.859375,-11.984375,21.84375
1,nested,9,8.2265625,-12.8828125,21.109375
1,nested,10,11.03125,-12.3984375,23.4296875
1,nested,11,11.84375,-11.9921875,23.8359375
1,nested,12,15.09375,-9.65625,24.75
1,nested,13,13.515625,-9.796875,23.3125
1,nested,14,13.5859375,-9.1484375,22.734375
1,nested,15,12.3984375,-10.4140625,22.8125
1,nested,16,13.34375,-9.609375,22.953125
1,nested,17,13.75,-9.6953125,23.4453125
1,nested,18,12.8125,-11.6875,24.5
1,nested,19,15.71875,-10.78125,26.5
1,nested,20,6.26171875,-23.1875,29.44921875
1,nested,21,11.4921875,-21.53125,33.0234375
1,nested,22,16.109375,-20.9375,37.046875
1,nested,23,24.25,-16.03125,40.28125
1,nested,24,25.359375,-18.75,44.109375
1,nested,25,36.375,-13.1796875,49.5546875
1,nested,26,34.5625,-16.390625,50.953125
1,nested,27,36.3125,-20.328125,56.640625
1,nested,28,97.8125,60.0,37.8125
2,direct,0,0.156005859375,-0.1605224609375,0.3165283203125
2,direct,1,2.8984375,-1.76953125,4.66796875
2,direct,2,2.96484375,-3.7421875,6.70703125
2,direct,3,3.30078125,-3.84375,7.14453125
2,direct,4,2.787109375,-5.62109375,8.408203125
2,direct,5,4.18359375,-6.57421875,10.7578125
2,direct,6,3.177734375,-6.0,9.177734375
2,direct,7,1.8583984375,-5.81640625,7.6748046875
2,direct,8,2.375,-8.484375,10.859375
2,direct,9,2.552734375,-10.40625,12.958984375
2,direct,10,6.65625,-10.671875,17.328125
2,direct,11,5.98828125,-10.90625,16.89453125
2,direct,12,9.4921875,-8.578125,18.0703125
2,direct,13,8.6015625,-9.3125,17.9140625
2,direct,14,9.296875,-8.859375,18.15625
2,direct,15,9.453125,-8.890625,18.34375
2,direct,16,10.359375,-8.546875,18.90625
2,direct,17,11.203125,-8.8828125,20.0859375
2,direct,18,10.796875,-10.515625,21.3125
2,direct,19,14.3671875,-8.125,22.4921875
2,direct,20,7.3359375,-17.78125,25.1171875
2,direct,21,11.8515625,-16.953125,28.8046875
2,direct,22,17.265625,-14.390625,31.65625
2,direct,23,26.609375,-8.8828125,35.4921875
2,direct,24,29.953125,-9.6640625,39.6171875
2,direct,25,44.1875,-2.35546875,46.54296875
2,direct,26,44.21875,-6.92578125,51.14453125
2,direct,27,47.40625,-10.484375,57.890625
2,direct,28,90.125,49.15625,40.96875
2,json,0,-0.03485107421875,-0.03485107421875,0.0
2,json,1,-0.333740234375,-0.331787109375,-0.001953125
2,json,2,-0.492919921875,-0.53857421875,0.045654296875
2,json,3,-1.1728515625,-1.1572265625,-0.015625
2,json,4,-1.33203125,-1.3818359375,0.0498046875
2,json,5,-1.6640625,-1.7470703125,0.0830078125
2,json,6,-2.2734375,-2.30078125,0.02734375
2,json,7,-2.517578125,-2.51171875,-0.005859375
2,json,8,-1.69921875,-1.787109375,0.087890625
2,json,9,-1.9921875,-1.9599609375,-0.0322265625
2,json,10,-1.212890625,-1.3310546875,0.1181640625
2,json,11,-1.9052734375,-2.1875,0.2822265625
2,json,12,-1.0087890625,-1.3505859375,0.341796875
2,json,13,-2.134765625,-2.42578125,0.291015625
2,json,14,-1.7373046875,-2.427734375,0.6904296875
2,json,15,-1.818359375,-2.58984375,0.771484375
2,json,16,-0.448486328125,-1.4716796875,1.023193359375
2,json,17,-0.20556640625,-1.4296875,1.22412109375
2,json,18,-1.291015625,-2.60546875,1.314453125
2,json,19,0.2587890625,-1.296875,1.5556640625
2,json,20,-3.23046875,-4.734375,1.50390625
2,json,21,-2.03515625,-4.265625,2.23046875
2,json,22,0.116455078125,-3.64453125,3.760986328125
2,json,23,3.65625,-0.58984375,4.24609375
2,json,24,2.96875,-2.052734375,5.021484375
2,json,25,9.5390625,1.6728515625,7.8662109375
2,json,26,6.24609375,-0.59130859375,6.83740234375
2,json,27,5.4375,-3.181640625,8.619140625
2,json,28,50.90625,39.96875,10.9375
2,xml,0,-0.0015106201171875,-0.0015106201171875,0.0
2,xml,1,-0.0157470703125,-0.03363037109375,0.01788330078125
2,xml,2,-0.391357421875,-0.5283203125,0.136962890625
2,xml,3,-1.20703125,-1.3193359375,0.1123046875
2,xml,4,-1.8447265625,-1.9677734375,0.123046875
2,xml,5,-2.509765625,-2.755859375,0.24609375
2,xml,6,-3.265625,-3.478515625,0.212890625
2,xml,7,-3.07421875,-3.12890625,0.0546875
2,xml,8,-2.12109375,-2.23046875,0.109375
2,xml,9,-2.41796875,-2.708984375,0.291015625
2,xml,10,-1.912109375,-2.2890625,0.376953125
2,xml,11,-1.5439453125,-2.4765625,0.9326171875
2,xml,12,0.677734375,-0.8662109375,1.5439453125
2,xml,13,0.21923828125,-1.5263671875,1.74560546875
2,xml,14,1.92578125,-1.8212890625,3.7470703125
2,xml,15,1.8837890625,-2.46875,4.3525390625
2,xml,16,3.765625,-1.2744140625,5.0400390625
2,xml,17,5.4453125,-1.3017578125,6.7470703125
2,xml,18,4.625,-2.501953125,7.126953125
2,xml,19,6.59375,-0.580078125,7.173828125
2,xml,20,1.74609375,-5.69921875,7.4453125
2,xml,21,2.455078125,-4.90625,7.361328125
2,xml,22,3.357421875,-4.91015625,8.267578125
2,xml,23,8.15625,-1.232421875,9.388671875
2,xml,24,8.7890625,-2.841796875,11.630859375
2,xml,25,15.1015625,-0.383056640625,15.484619140625
2,xml,26,11.8359375,-4.30078125,16.13671875
2,xml,27,8.8984375,-8.0703125,16.96875
2,xml,28,38.78125,23.53125,15.25
2,markdown,0,-0.033660888671875,-0.033660888671875,0.0
2,markdown,1,-0.147216796875,-0.1751708984375,0.0279541015625
2,markdown,2,-0.7060546875,-0.7646484375,0.05859375
2,markdown,3,-0.12841796875,-0.2037353515625,0.0753173828125
2,markdown,4,-0.9609375,-1.0537109375,0.0927734375
2,markdown,5,-0.89013671875,-1.0009765625,0.11083984375
2,markdown,6,-1.8857421875,-1.947265625,0.0615234375
2,markdown,7,-1.84375,-1.89453125,0.05078125
2,markdown,8,-1.5517578125,-1.626953125,0.0751953125
2,markdown,9,-1.6416015625,-1.6884765625,0.046875
2,markdown,10,-2.341796875,-2.4140625,0.072265625
2,markdown,11,-1.27734375,-1.595703125,0.318359375
2,markdown,12,0.92138671875,0.1492919921875,0.7720947265625
2,markdown,13,0.376708984375,-0.36328125,0.739990234375
2,markdown,14,1.9697265625,0.6298828125,1.33984375
2,markdown,15,2.826171875,0.8125,2.013671875
2,markdown,16,4.8046875,1.263671875,3.541015625
2,markdown,17,5.72265625,1.751953125,3.970703125
2,markdown,18,4.6328125,0.466064453125,4.166748046875
2,markdown,19,6.8203125,2.44921875,4.37109375
2,markdown,20,2.09765625,-3.236328125,5.333984375
2,markdown,21,3.701171875,-2.736328125,6.4375
2,markdown,22,6.23828125,-1.779296875,8.017578125
2,markdown,23,12.5390625,4.0,8.5390625
2,markdown,24,13.5703125,4.3828125,9.1875
2,markdown,25,21.203125,9.5703125,11.6328125
2,markdown,26,16.28125,3.896484375,12.384765625
2,markdown,27,15.4609375,1.2998046875,14.1611328125
2,markdown,28,69.5,59.6875,9.8125
2,roleplay,0,0.156005859375,-0.1605224609375,0.3165283203125
2,roleplay,1,2.73828125,-1.7099609375,4.4482421875
2,roleplay,2,3.01171875,-3.3828125,6.39453125
2,roleplay,3,3.451171875,-3.23828125,6.689453125
2,roleplay,4,2.857421875,-4.90625,7.763671875
2,roleplay,5,4.9453125,-5.625,10.5703125
2,roleplay,6,3.47265625,-5.44921875,8.921875
2,roleplay,7,2.375,-5.0625,7.4375
2,roleplay,8,2.751953125,-7.5625,10.314453125
2,roleplay,9,3.357421875,-9.0546875,12.412109375
2,roleplay,10,6.3046875,-9.375,15.6796875
2,roleplay,11,5.7890625,-9.6015625,15.390625
2,roleplay,12,8.7734375,-7.2421875,16.015625
2,roleplay,13,8.2734375,-7.92578125,16.19921875
2,roleplay,14,9.453125,-7.5234375,16.9765625
2,roleplay,15,9.484375,-7.6328125,17.1171875
2,roleplay,16,10.296875,-7.1796875,17.4765625
2,roleplay,17,10.3515625,-7.1875,17.5390625
2,roleplay,18,10.0625,-8.375,18.4375
2,roleplay,19,12.75,-6.3828125,19.1328125
2,roleplay,20,6.359375,-15.7734375,22.1328125
2,roleplay,21,10.7578125,-14.6953125,25.453125
2,roleplay,22,14.8359375,-11.5546875,26.390625
2,roleplay,23,23.9375,-6.44140625,30.37890625
2,roleplay,24,27.15625,-6.203125,33.359375
2,roleplay,25,39.0,0.12347412109375,38.87652587890625
2,roleplay,26,38.3125,-4.71875,43.03125
2,roleplay,27,40.625,-7.46875,48.09375
2,roleplay,28,86.5,54.28125,32.21875
