model,format,layer,position,mean_projection,retention_pct,baseline
Qwen2.5-3B-Instruct,direct,9,content,5.3634765625,80.2395996931955,6.684326171875
Qwen2.5-3B-Instruct,direct,9,delimiter,0.0,0.0,6.684326171875
Qwen2.5-3B-Instruct,direct,9,mean,5.3634765625,80.2395996931955,6.684326171875
Qwen2.5-3B-Instruct,direct,12,last,9.317486572265626,100.0,9.317486572265626
Qwen2.5-3B-Instruct,direct,12,first,-148.3375,-1592.0334185566794,9.317486572265626
Qwen2.5-3B-Instruct,direct,12,content,-17.8578125,-191.6591170966155,9.317486572265626
Qwen2.5-3B-Instruct,direct,12,delimiter,0.0,0.0,9.317486572265626
Qwen2.5-3B-Instruct,direct,12,mean,-17.8578125,-191.6591170966155,9.317486572265626
Qwen2.5-3B-Instruct,direct,15,last,10.32119140625,100.0,10.32119140625
Qwen2.5-3B-Instruct,direct,15,first,-202.4,-1961.0139181939467,10.32119140625
Qwen2.5-3B-Instruct,direct,15,content,-24.603125,-238.374854526015,10.32119140625
Qwen2.5-3B-Instruct,direct,15,delimiter,0.0,0.0,10.32119140625
Qwen2.5-3B-Instruct,direct,15,mean,-24.603125,-238.374854526015,10.32119140625
Qwen2.5-3B-Instruct,direct,18,last,10.994802856445313,100.0,10.994802856445313
Qwen2.5-3B-Instruct,direct,18,first,-196.0875,-1783.4562616559392,10.994802856445313
Qwen2.5-3B-Instruct,direct,18,content,-22.4828125,-204.48581746802535,10.994802856445313
Qwen2.5-3B-Instruct,direct,18,delimiter,0.0,0.0,10.994802856445313
Qwen2.5-3B-Instruct,direct,18,mean,-22.4828125,-204.48581746802535,10.994802856445313
Qwen2.5-3B-Instruct,direct,21,last,14.3345703125,100.0,14.3345703125
Qwen2.5-3B-Instruct,direct,21,first,-93.91875,-655.1905495074462,14.3345703125
Qwen2.5-3B-Instruct,direct,21,content,-7.47734375,-52.16301282138623,14.3345703125
Qwen2.5-3B-Instruct,direct,21,delimiter,0.0,0.0,14.3345703125
Qwen2.5-3B-Instruct,direct,21,mean,-7.47734375,-52.16301282138623,14.3345703125
Qwen2.5-3B-Instruct,direct,24,last,16.134765625,100.0,16.134765625
Qwen2.5-3B-Instruct,direct,24,first,4.369140625,27.079046120324417,16.134765625
Qwen2.5-3B-Instruct,direct,24,content,6.75703125,41.878707178307714,16.134765625
Qwen2.5-3B-Instruct,direct,24,delimiter,0.0,0.0,16.134765625
Qwen2.5-3B-Instruct,direct,24,mean,6.75703125,41.878707178307714,16.134765625
Qwen2.5-3B-Instruct,direct,27,last,10.3984375,100.0,10.3984375
Qwen2.5-3B-Instruct,direct,27,first,-270.05,-2597.0247933884298,10.3984375
Qwen2.5-3B-Instruct,direct,27,content,-35.290625,-339.3839218632607,10.3984375
Qwen2.5-3B-Instruct,direct,27,delimiter,0.0,0.0,10.3984375
Qwen2.5-3B-Instruct,direct,27,mean,-35.290625,-339.3839218632607,10.3984375
Qwen2.5-3B-Instruct,direct,30,last,22.7671875,100.0,22.7671875
Qwen2.5-3B-Instruct,direct,30,first,-151.9,-667.1882506348227,22.7671875
Qwen2.5-3B-Instruct,direct,30,content,-13.437890625,-59.023059501750055,22.7671875
Qwen2.5-3B-Instruct,direct,30,delimiter,0.0,0.0,22.7671875
Qwen2.5-3B-Instruct,direct,30,mean,-13.437890625,-59.023059501750055,22.7671875
Qwen2.5-3B-Instruct,direct,33,last,60.121875,100.0,60.121875
Qwen2.5-3B-Instruct,direct,33,first,0.155908203125,0.25932026092832267,60.121875
Qwen2.5-3B-Instruct,direct,33,content,24.61875,40.94807422423202,60.121875
Qwen2.5-3B-Instruct,direct,33,delimiter,0.0,0.0,60.121875
Qwen2.5-3B-Instruct,direct,33,mean,24.61875,40.94807422423202,60.121875
Qwen2.5-3B-Instruct,direct,36,last,76.59375,100.0,76.59375
Qwen2.5-3B-Instruct,direct,36,first,35.6875,46.59322725418197,76.59375
Qwen2.5-3B-Instruct,direct,36,content,44.425,58.000815993472045,76.59375
Qwen2.5-3B-Instruct,direct,36,delimiter,0.0,0.0,76.59375
Qwen2.5-3B-Instruct,direct,36,mean,44.425,58.000815993472045,76.59375
Qwen2.5-3B-Instruct,json,0,last,0.0110626220703125,7.295964576834055,0.1516265869140625
Qwen2.5-3B-Instruct,json,0,first,0.0026760101318359375,1.764868672637617,0.1516265869140625
Qwen2.5-3B-Instruct,json,0,content,0.017957305908203124,11.843111603099526,0.1516265869140625
Qwen2.5-3B-Instruct,json,0,delimiter,-0.01087799072265625,-7.1741974438965475,0.1516265869140625
Qwen2.5-3B-Instruct,json,0,mean,0.00018684864044189454,0.1232294706651907,0.1516265869140625
Qwen2.5-3B-Instruct,json,3,last,0.617138671875,13.324056357627414,4.6317626953125
Qwen2.5-3B-Instruct,json,3,first,28.084375,606.3431321389227,4.6317626953125
Qwen2.5-3B-Instruct,json,3,content,1.0689239501953125,23.07812425876437,4.6317626953125
Qwen2.5-3B-Instruct,json,3,delimiter,2.1826171875,47.12281977893388,4.6317626953125
Qwen2.5-3B-Instruct,json,3,mean,1.248583984375,26.95699383819057,4.6317626953125
Qwen2.5-3B-Instruct,json,6,last,-0.1519775390625,-3.3492951684063272,4.53759765625
Qwen2.5-3B-Instruct,json,6,first,7.069921875,155.8075971161089,4.53759765625
Qwen2.5-3B-Instruct,json,6,content,0.43489532470703124,9.584263693102335,4.53759765625
Qwen2.5-3B-Instruct,json,6,delimiter,-0.5232666015625,-11.531798127622944,4.53759765625
Qwen2.5-3B-Instruct,json,6,mean,-0.352386474609375,-7.765925965780696,4.53759765625
Qwen2.5-3B-Instruct,json,9,last,-1.18115234375,-17.670477373169216,6.684326171875
Qwen2.5-3B-Instruct,json,9,first,30.678125,458.9561342634866,6.684326171875
Qwen2.5-3B-Instruct,json,9,content,1.658203125,24.807334088169767,6.684326171875
