pca_x,pca_y,tsne_x,tsne_y,label,format
54.67373323319322,60.09314996994765,13.150872,19.78444,harmless,json
48.05009140422874,62.30574068193388,11.432958,16.151009,harmless,json
51.549625197418244,61.6287008645241,13.998793,16.380571,harmless,json
48.301046416272186,58.16865926602585,11.293738,17.414124,harmless,json
53.77783168626162,59.83798286290415,12.221715,20.122055,harmless,json
-45.416062994233435,18.168141877804256,-11.652979,-23.95161,harmful,tool_call
-41.80820400801921,19.2309251168127,-15.32638,-27.31377,harmful,tool_call
-44.44457172311667,18.82454954456656,-13.783064,-25.863226,harmful,tool_call
-47.33778047213438,17.327889006792176,-10.236475,-25.590122,harmful,tool_call
-45.06204815028492,19.595263256068804,-14.214801,-23.672083,harmful,tool_call
-41.46893802103477,18.009973786465586,-15.030673,-26.615206,harmful,tool_call
-42.97092257856063,19.272088318158108,-13.856469,-24.901693,harmful,tool_call
-42.25252731037913,19.28847474927597,-13.346008,-27.193428,harmful,tool_call
-43.86555382661146,19.241086145723514,-14.237474,-24.20718,harmful,tool_call
-43.096793106492896,19.513446080024764,-15.911744,-26.575655,harmful,tool_call
-43.76597134436448,18.686570496368898,-12.995505,-25.836058,harmful,tool_call
-42.81987200848722,18.84036143117158,-11.152371,-30.083706,harmful,tool_call
-46.689983132396584,17.195755773180288,-9.205424,-25.938791,harmful,tool_call
-45.54445446815005,18.39743048616294,-10.644434,-25.527489,harmful,tool_call
-44.51599936163748,18.650269572613993,-13.078393,-25.04694,harmful,tool_call
-43.18279436072057,18.083055822046386,-11.47378,-28.687397,harmful,tool_call
-45.22176641590102,17.37025309830951,-10.995102,-27.975965,harmful,tool_call
-44.677179918850214,17.690650323731315,-8.77849,-25.339144,harmful,tool_call
-44.50293968328633,18.25692467122105,-14.437742,-25.98419,harmful,tool_call
-40.46082594791717,17.994512362305063,-12.366906,-29.339497,harmful,tool_call
-48.17777206822314,16.29649090130747,-10.199359,-23.529167,harmless,tool_call
-43.88288049301406,19.02158815598721,-6.4892144,-25.383791,harmless,tool_call
-45.98329663022503,19.33224270913954,-6.861954,-29.654055,harmless,tool_call
-46.539325056058175,18.513128793250885,-8.012685,-27.29907,harmless,tool_call
-40.72740463382287,19.59741291954643,-9.939438,-31.333914,harmless,tool_call
-46.56894107551283,20.77378147529325,-5.256806,-31.216774,harmless,tool_call
-47.06199937022501,17.345862581935346,-8.987771,-27.355793,harmless,tool_call
-45.02438205835774,18.905158817801887,-8.330599,-29.361078,harmless,tool_call
-44.98438731174155,19.338500684621863,-9.1175785,-30.392868,harmless,tool_call
-43.64618533493036,20.270316554792018,-5.2654166,-31.225964,harmless,tool_call
-46.59035026551555,18.51793912228318,-6.842051,-28.221375,harmless,tool_call
-42.957196003214854,19.423991140171466,-10.269623,-30.707758,harmless,tool_call
-45.62444618464658,17.807344828752914,-9.248637,-28.450996,harmless,tool_call
-46.59774310849049,17.48365862936468,-8.045978,-26.412941,harmless,tool_call
-47.08352689315758,17.845959411238468,-7.743273,-28.376715,harmless,tool_call
-44.08180299805268,18.70070402924454,-10.18747,-29.736416,harmless,tool_call
-45.49353103039258,18.02666120654249,-8.55625,-27.905657,harmless,tool_call
-46.223676668044654,16.636035633238084,-7.7805943,-25.23162,harmless,tool_call
-46.25106359985439,17.93563099867272,-7.6573615,-30.207697,harmless,tool_call
-45.576501004455686,18.633168298689974,-8.6724825,-29.179863,harmless,tool_call
-92.16980214694439,-24.195498901724452,-18.959564,11.254534,harmful,system
-90.27143649706842,-24.423710117705408,-27.61561,9.0900135,harmful,system
-92.55837435648867,-25.14800939656722,-22.30967,7.3845787,harmful,system
-89.74998829853662,-23.933579550192004,-25.048817,13.500059,harmful,system
-88.45044474367712,-25.133991734384605,-20.386591,5.7392764,harmful,system
-92.65067475377401,-24.766220935342563,-25.952793,8.040873,harmful,system
-93.05918086580354,-25.316327471670153,-21.094193,7.6025996,harmful,system
-91.03784217898148,-24.68330983178358,-22.780235,10.338995,harmful,system
-89.2904342631545,-25.10313199416154,-19.918264,6.236596,harmful,system
-90.60158431503062,-23.937473563132624,-27.488737,8.172968,harmful,system
-95.70377719982412,-25.958494975191968,-20.21731,9.114531,harmful,system
-87.58310292268153,-22.6654709606449,-21.903648,14.695542,harmful,system
-92.62706067420338,-25.43366798673417,-21.181145,8.578497,harmful,system
-89.83181382289622,-24.475488317510266,-24.693417,11.752291,harmful,system
-91.99754041348454,-25.775485090898222,-22.838755,4.638978,harmful,system
-92.98073983161139,-25.13813677989573,-22.449518,11.071941,harmful,system
-93.01260751177583,-25.899764385571014,-20.574804,8.540575,harmful,system
-91.30716179804544,-24.663561803275638,-25.811201,10.262486,harmful,system
-86.906341189528,-24.937098180686668,-20.258638,4.668176,harmful,system
-90.93276160549837,-24.78589535067703,-22.934696,10.881776,harmful,system
-93.00847414255543,-24.242930360515135,-18.958862,11.270884,harmless,system
-86.47649513652243,-23.480781532575016,-27.882708,9.737815,harmless,system
-88.38719176364533,-24.08468463179171,-21.50421,5.743459,harmless,system
-90.79515591301778,-23.898782202978307,-25.181427,13.646855,harmless,system
-91.8480717787889,-25.353608522669187,-22.834612,6.0201464,harmless,system
-87.96103693175644,-23.09754649692342,-27.592472,6.8355722,harmless,system
-93.2000460578827,-24.833127307091395,-23.02841,7.2439923,harmless,system
-91.58757569400326,-24.361248617878932,-23.804497,9.778339,harmless,system
-89.96509277960692,-24.836012419367933,-20.016457,7.169685,harmless,system
-93.09796456457391,-24.676370721881366,-26.905859,7.532169,harmless,system
-92.01692684866399,-24.54889756890006,-24.093618,6.693195,harmless,system
-88.22820368345319,-23.28236987970551,-21.871195,14.695165,harmless,system
-92.17296045666174,-25.32325369701089,-22.47909,8.074313,harmless,system
-92.0219968798113,-24.538788382140932,-24.696169,11.432927,harmless,system
-90.99170913190859,-24.904336886326963,-23.102732,4.743661,harmless,system
-92.00572844474037,-25.048076215252813,-21.859297,9.624561,harmless,system
