layer,head,format,direct_content_attn,direct_format_attn,formatted_content_attn,formatted_format_attn,content_shift,format_shift,routing_divergence
4,10,json,,,,,,,
4,11,json,,,,,,,
5,0,tool_call,,,,,,,
5,1,tool_call,,,,,,,
5,2,tool_call,,,,,,,
5,3,tool_call,,,,,,,
5,4,tool_call,,,,,,,
5,5,tool_call,,,,,,,
5,6,tool_call,,,,,,,
5,7,tool_call,,,,,,,
5,8,tool_call,,,,,,,
5,9,tool_call,,,,,,,
5,10,tool_call,,,,,,,
5,11,tool_call,,,,,,,
5,0,system,,,,,,,
5,1,system,,,,,,,
5,2,system,,,,,,,
5,3,system,,,,,,,
5,4,system,,,,,,,
5,5,system,,,,,,,
5,6,system,,,,,,,
5,7,system,,,,,,,
5,8,system,,,,,,,
5,9,system,,,,,,,
5,10,system,,,,,,,
5,11,system,,,,,,,
5,0,json,,,,,,,
5,1,json,,,,,,,
5,2,json,,,,,,,
5,3,json,,,,,,,
5,4,json,,,,,,,
5,5,json,,,,,,,
5,6,json,,,,,,,
5,7,json,,,,,,,
5,8,json,,,,,,,
5,9,json,,,,,,,
5,10,json,,,,,,,
5,11,json,,,,,,,
6,0,tool_call,,,,,,,
6,1,tool_call,,,,,,,
6,2,tool_call,,,,,,,
6,3,tool_call,,,,,,,
6,4,tool_call,,,,,,,
6,5,tool_call,,,,,,,
6,6,tool_call,,,,,,,
6,7,tool_call,,,,,,,
6,8,tool_call,,,,,,,
6,9,tool_call,,,,,,,
6,10,tool_call,,,,,,,
6,11,tool_call,,,,,,,
6,0,system,,,,,,,
6,1,system,,,,,,,
6,2,system,,,,,,,
6,3,system,,,,,,,
6,4,system,,,,,,,
6,5,system,,,,,,,
6,6,system,,,,,,,
6,7,system,,,,,,,
6,8,system,,,,,,,
6,9,system,,,,,,,
6,10,system,,,,,,,
6,11,system,,,,,,,
6,0,json,,,,,,,
6,1,json,,,,,,,
6,2,json,,,,,,,
6,3,json,,,,,,,
6,4,json,,,,,,,
6,5,json,,,,,,,
6,6,json,,,,,,,
6,7,json,,,,,,,
6,8,json,,,,,,,
6,9,json,,,,,,,
6,10,json,,,,,,,
6,11,json,,,,,,,
7,0,tool_call,,,,,,,
7,1,tool_call,,,,,,,
7,2,tool_call,,,,,,,
7,3,tool_call,,,,,,,
7,4,tool_call,,,,,,,
7,5,tool_call,,,,,,,
7,6,tool_call,,,,,,,
7,7,tool_call,,,,,,,
7,8,tool_call,,,,,,,
7,9,tool_call,,,,,,,
7,10,tool_call,,,,,,,
7,11,tool_call,,,,,,,
7,0,system,,,,,,,
7,1,system,,,,,,,
7,2,system,,,,,,,
7,3,system,,,,,,,
7,4,system,,,,,,,
7,5,system,,,,,,,
7,6,system,,,,,,,
7,7,system,,,,,,,
7,8,system,,,,,,,
7,9,system,,,,,,,
7,10,system,,,,,,,
7,11,system,,,,,,,
7,0,json,,,,,,,
7,1,json,,,,,,,
7,2,json,,,,,,,
7,3,json,,,,,,,
7,4,json,,,,,,,
7,5,json,,,,,,,
7,6,json,,,,,,,
7,7,json,,,,,,,
7,8,json,,,,,,,
7,9,json,,,,,,,
7,10,json,,,,,,,
7,11,json,,,,,,,
8,0,tool_call,,,,,,,
8,1,tool_call,,,,,,,
8,2,tool_call,,,,,,,
8,3,tool_call,,,,,,,
8,4,tool_call,,,,,,,
8,5,tool_call,,,,,,,
8,6,tool_call,,,,,,,
8,7,tool_call,,,,,,,
8,8,tool_call,,,,,,,
8,9,tool_call,,,,,,,
8,10,tool_call,,,,,,,
8,11,tool_call,,,,,,,
8,0,system,,,,,,,
8,1,system,,,,,,,
8,2,system,,,,,,,
8,3,system,,,,,,,
8,4,system,,,,,,,
8,5,system,,,,,,,
8,6,system,,,,,,,
8,7,system,,,,,,,
8,8,system,,,,,,,
8,9,system,,,,,,,
8,10,system,,,,,,,
8,11,system,,,,,,,
8,0,json,,,,,,,
8,1,json,,,,,,,
8,2,json,,,,,,,
8,3,json,,,,,,,
8,4,json,,,,,,,
8,5,json,,,,,,,
8,6,json,,,,,,,
8,7,json,,,,,,,
8,8,json,,,,,,,
8,9,json,,,,,,,
8,10,json,,,,,,,
8,11,json,,,,,,,
9,0,tool_call,,,,,,,
9,1,tool_call,,,,,,,
9,2,tool_call,,,,,,,
9,3,tool_call,,,,,,,
9,4,tool_call,,,,,,,
9,5,tool_call,,,,,,,
9,6,tool_call,,,,,,,
9,7,tool_call,,,,,,,
9,8,tool_call,,,,,,,
9,9,tool_call,,,,,,,
9,10,tool_call,,,,,,,
9,11,tool_call,,,,,,,
9,0,system,,,,,,,
9,1,system,,,,,,,
9,2,system,,,,,,,
9,3,system,,,,,,,
9,4,system,,,,,,,
9,5,system,,,,,,,
9,6,system,,,,,,,
9,7,system,,,,,,,
9,8,system,,,,,,,
9,9,system,,,,,,,
9,10,system,,,,,,,
9,11,system,,,,,,,
9,0,json,,,,,,,
9,1,json,,,,,,,
9,2,json,,,,,,,
9,3,json,,,,,,,
9,4,json,,,,,,,
9,5,json,,,,,,,
9,6,json,,,,,,,
9,7,json,,,,,,,
9,8,json,,,,,,,
9,9,json,,,,,,,
9,10,json,,,,,,,
9,11,json,,,,,,,
10,0,tool_call,,,,,,,
10,1,tool_call,,,,,,,
10,2,tool_call,,,,,,,
10,3,tool_call,,,,,,,
10,4,tool_call,,,,,,,
10,5,tool_call,,,,,,,
10,6,tool_call,,,,,,,
10,7,tool_call,,,,,,,
10,8,tool_call,,,,,,,
10,9,tool_call,,,,,,,
10,10,tool_call,,,,,,,
10,11,tool_call,,,,,,,
10,0,system,,,,,,,
10,1,system,,,,,,,
10,2,system,,,,,,,
10,3,system,,,,,,,
10,4,system,,,,,,,
10,5,system,,,,,,,
10,6,system,,,,,,,
10,7,system,,,,,,,
10,8,system,,,,,,,
10,9,system,,,,,,,
10,10,system,,,,,,,
10,11,system,,,,,,,
10,0,json,,,,,,,
10,1,json,,,,,,,
10,2,json,,,,,,,
10,3,json,,,,,,,
10,4,json,,,,,,,
10,5,json,,,,,,,
10,6,json,,,,,,,
10,7,json,,,,,,,
10,8,json,,,,,,,
10,9,json,,,,,,,
10,10,json,,,,,,,
10,11,json,,,,,,,
11,0,tool_call,,,,,,,
11,1,tool_call,,,,,,,
11,2,tool_call,,,,,,,
11,3,tool_call,,,,,,,
11,4,tool_call,,,,,,,
11,5,tool_call,,,,,,,
11,6,tool_call,,,,,,,
11,7,tool_call,,,,,,,
11,8,tool_call,,,,,,,
11,9,tool_call,,,,,,,
11,10,tool_call,,,,,,,
11,11,tool_call,,,,,,,
11,0,system,,,,,,,
11,1,system,,,,,,,
11,2,system,,,,,,,
11,3,system,,,,,,,
11,4,system,,,,,,,
11,5,system,,,,,,,
11,6,system,,,,,,,
11,7,system,,,,,,,
11,8,system,,,,,,,
11,9,system,,,,,,,
11,10,system,,,,,,,
11,11,system,,,,,,,
11,0,json,,,,,,,
11,1,json,,,,,,,
11,2,json,,,,,,,
11,3,json,,,,,,,
11,4,json,,,,,,,
11,5,json,,,,,,,
11,6,json,,,,,,,
11,7,json,,,,,,,
11,8,json,,,,,,,
11,9,json,,,,,,,
11,10,json,,,,,,,
11,11,json,,,,,,,
12,0,tool_call,,,,,,,
12,1,tool_call,,,,,,,
12,2,tool_call,,,,,,,
12,3,tool_call,,,,,,,
12,4,tool_call,,,,,,,
12,5,tool_call,,,,,,,
12,6,tool_call,,,,,,,
12,7,tool_call,,,,,,,
12,8,tool_call,,,,,,,
12,9,tool_call,,,,,,,
12,10,tool_call,,,,,,,
12,11,tool_call,,,,,,,
12,0,system,,,,,,,
12,1,system,,,,,,,
12,2,system,,,,,,,
12,3,system,,,,,,,
12,4,system,,,,,,,
12,5,system,,,,,,,
12,6,system,,,,,,,
12,7,system,,,,,,,
12,8,system,,,,,,,
12,9,system,,,,,,,
12,10,system,,,,,,,
12,11,system,,,,,,,
12,0,json,,,,,,,
12,1,json,,,,,,,
12,2,json,,,,,,,
12,3,json,,,,,,,
12,4,json,,,,,,,
12,5,json,,,,,,,
